Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Temperature,PlateNumber,Fov,Concentration1,T
21,0.180660460609944,23.252943590087,0.282031052396635,36.6522144457089,1.29674063948915,6.90919462798339,12.5657501220703,11.2193078994751,-0.0101333158484914,14.0513691585512,5.018346128054,-0.160537182972845,0.22911404249207,5.64283132553101,11.2193078994751,-0.267879752483459,-0.0101333158484914,3.19086791097059,3.7711386680603,69.3723323798311,1.53602726429865,0.219895732836289,1669.13580246914,16.4759979101113,46,77.6857142857143,811.385459533608,89.5548477172852,0.658153207077546,1.0636226369902,RT,1,1,0 uM,2
8,0.121443976298907,10.9793393347473,0.424552082433368,16.0777124913925,0.660414350451906,10.2054772998809,118.017211914063,10.3681898117065,-0.311444534598452,21.0770537378268,6.0220153536648,-0.15800700341127,0.18451377733003,13.4551935195923,10.3681898117065,0.10893303604157,-0.323810165344477,7.90612999681618,13.3036804199219,111.73625581471,3.10577213286072,0.157070884540495,718.655692729767,11.4615517988959,611,5.5,417.283950617284,912.12939453125,0.573494555864086,1.14615517988959,RT,1,1,0 uM,2
6,0.191700822091663,36.7723572033174,0.217796221957543,38.742280635209,0.342251205933283,34.2542530413237,19.0152282714844,10.4065999984741,-0.0492363165359197,13.0476999329404,6.0220153536648,-0.162107722947415,0.202026883412696,4.71654748916626,10.4065999984741,-0.117844744989095,-0.0492363165359197,4.87377630097,6.73550033569336,64.8371759813162,1.85589401701883,0.184450442988937,2248.69684499314,20.4691474114492,259.981818181818,60.6727272727273,1275.03429355281,122.101776123047,1.0289975281288,1.62459210032333,RT,1,1,0 uM,2
5,0.302104436908851,16.4350046380355,0.356302575091834,16.8577732574801,0.604208873817701,14.2998380509617,63.5232543945313,10.7046422958374,-0.184760780511873,18.0660460609944,6.0220153536648,-0.15636710136294,0.187054519391986,7.741051197052,10.7046422958374,-0.100118952326068,-0.199231815059115,10.2043284365556,13.5123157501221,151.580705847764,4.6475708236061,0.293716532284294,2179.14951989026,19.3795451755693,721.968253968254,55.3333333333333,1460.49382716049,202.315063476563,0.644332801352298,1.93795451755693,RT,1,1,0 uM,2
7,0.242887952597813,18.1703499677323,0.390427328762601,21.2769761092365,0.55201807408594,17.1163371251353,29.6546459197998,8.60580158233643,-0.312851425383058,19.0697152866052,5.018346128054,-0.183789370351126,0.188367635613176,6.3472580909729,10.9171380996704,-0.33945786234554,-0.312851425383058,4.80270769465339,5.9983172416687,166.529162247553,3.39661258629666,3.43323223556314,1228.66941015089,13.618352822852,10.5,65.5,556.378600823045,4.49470853805542,0.678514708395434,1.3618352822852,RT,1,1,0 uM,2
6,0.256939321756365,24.7322278378884,0.329203506000342,31.5256798697849,0.450647482299249,24.1666794594601,106.076202392578,8.09165096282959,-0.101690063451101,13.0476999329404,5.018346128054,-0.187232731475688,0.204248174229004,4.70101642608643,8.09165096282959,-0.179628542263726,-0.0852247973791232,9.13869257330885,16.4256057739258,104.009091564244,3.48328510183583,0.302724248949133,1669.13580246914,11.9050582713455,460,5.5,556.378600823045,377.242248535156,0.641923249165849,1.19050582713455,RT,1,1,0 uM,2
5,0.214785214280711,19.6782069727655,0.32619249832351,20.9667399138434,0.441614459268752,19.611267250517,87.6825561523438,6.30691242218018,-0.369365045444389,16.0587076097728,4.0146769024432,-0.256050739215267,0.276453452518582,4.87895202636719,6.30691242218018,-0.408477845307771,-0.369365045444389,9.47425949933136,9.53506660461426,217.263168344658,5.18987211678845,0.180331990688856,1414.12894375857,15.5317064993654,585.128205128205,76.8461538461538,904.115226337449,461.868988037109,0.784541007211781,1.55317064993654,RT,1,1,0 uM,2
2,0.212777875829489,41.5080949538665,0.212777875829489,41.5080949538665,0.267979683238083,41.5080949538665,147.857177734375,13.4380121231079,-0.210367670976829,21.0770537378268,6.0220153536648,-0.150069679772916,0.209254675724349,9.26440143585205,13.4380121231079,-0.210367670976829,-0.085273700879097,11.0821972803061,13.6171703338623,221.857536731321,6.33179118920187,0.181385577140546,1808.2304526749,16.8433723050049,315.184210526316,29.9210526315789,880.932784636488,713.844665527344,0.815343655663485,1.68433723050049,RT,1,1,0 uM,2
3,0.0873192226281395,23.5801340694832,0.162594414548949,23.5940687697821,0.227832914213651,23.5928821185958,315.823608398438,6.83587074279785,-0.338894886301047,18.0660460609944,3.0110076768324,-0.257388146652768,0.370931937939732,5.76419973373413,8.50121402740479,-0.337769602825857,-0.338894886301047,11.4655433878552,9.21866703033447,173.936142990361,8.35237364822978,0.102562578584747,927.297668038409,10.2766191464972,372.5,77.5,417.283950617284,1686.333984375,0.722748302874642,1.02766191464972,RT,1,1,0 uM,2
6,0.232851260341705,13.1681576192466,0.297086090780797,13.7930219466259,0.65238499664702,11.2872191749756,34.2784118652344,7.67856645584106,-0.158892316970998,16.0587076097728,4.0146769024432,-0.218529038124089,0.271292535360273,5.86740875244141,7.86607933044434,-0.346059501922553,-0.15589435870499,8.70180964125915,11.8046998977661,156.221487609206,6.01056425392878,0.229766628370229,1530.04115226337,11.0695873128362,80,76,486.831275720165,143.240875244141,0.640609494255362,1.10695873128362,RT,1,1,0 uM,2
